,Jump,Rep,ID,X,Y,Harvest,Rust,Time
0,5,7,0,11,6,0,0.0,0
1,5,7,1,10,6,0,0.0,0
2,5,7,2,13,13,0,0.0,0
3,5,7,3,8,16,0,0.0,0
4,5,7,4,18,8,0,0.0,0
5,5,7,5,9,11,0,0.0,0
6,5,7,6,13,19,0,0.0,0
7,5,7,7,12,15,0,0.0,0
8,5,7,8,16,19,0,0.0,0
9,5,7,9,19,15,0,0.0,0
10,5,7,10,19,4,0,0.0,0
11,5,7,11,19,4,0,0.0,0
12,5,7,12,8,13,0,0.0,0
13,5,7,13,5,13,0,0.0,0
14,5,7,14,11,8,0,0.0,0
15,5,7,15,15,5,0,0.0,0
16,5,7,16,15,5,0,0.0,0
17,5,7,17,18,19,0,0.0,0
18,5,7,18,2,14,0,0.0,0
19,5,7,19,18,15,0,0.0,0
20,5,7,20,10,15,0,0.0,0
21,5,7,21,12,3,0,0.0,0
22,5,7,22,17,14,0,0.0,0
23,5,7,23,9,14,0,0.0,0
24,5,7,24,17,17,0,0.0,0
25,5,7,25,15,19,0,0.0,0
26,5,7,26,3,13,0,0.0,0
27,5,7,27,9,4,0,0.0,0
28,5,7,28,3,2,0,0.0,0
29,5,7,29,14,6,0,0.0,0
30,5,7,30,19,17,0,0.0,0
31,5,7,31,2,12,0,0.0,0
32,5,7,32,9,3,0,0.0,0
33,5,7,33,19,2,0,0.0,0
34,5,7,34,5,19,0,0.0,0
35,5,7,35,17,10,0,0.0,0
36,5,7,36,8,7,0,0.0,0
37,5,7,37,8,0,0,0.0,0
38,5,7,38,5,17,0,0.0,0
39,5,7,39,7,7,0,0.0,0
40,5,7,40,7,2,0,0.5,0
41,5,7,41,1,1,0,0.5,0
42,5,7,42,10,6,0,0.5,0
43,5,7,43,17,11,0,0.5,0
44,5,7,44,17,5,0,0.5,0
45,5,7,45,15,2,0,1.0,0
46,5,7,46,13,15,0,1.0,0
47,5,7,47,6,6,0,1.0,0
48,5,7,48,12,8,0,1.0,0
49,5,7,49,14,16,0,1.0,0
0,5,7,0,11,6,0,0.0,0.5
1,5,7,1,10,6,0,0.0,0.5
2,5,7,2,13,13,0,0.0,0.5
3,5,7,3,8,16,0,0.0,0.5
4,5,7,4,18,8,0,0.0,0.5
5,5,7,5,9,11,0,0.0,0.5
6,5,7,6,13,19,0,0.0,0.5
7,5,7,7,12,15,0,0.5,0.5
8,5,7,8,16,19,0,0.0,0.5
9,5,7,9,19,15,0,0.0,0.5
10,5,7,10,19,4,0,0.0,0.5
11,5,7,11,19,4,0,0.0,0.5
12,5,7,12,8,13,0,0.0,0.5
13,5,7,13,5,13,0,0.0,0.5
14,5,7,14,11,8,0,0.5,0.5
15,5,7,15,15,5,0,0.0,0.5
16,5,7,16,15,5,0,0.0,0.5
17,5,7,17,18,19,0,0.0,0.5
18,5,7,18,2,14,0,0.0,0.5
19,5,7,19,18,15,0,0.0,0.5
20,5,7,20,10,15,0,0.0,0.5
21,5,7,21,12,3,0,0.0,0.5
22,5,7,22,17,14,0,0.0,0.5
23,5,7,23,9,14,0,0.0,0.5
24,5,7,24,17,17,0,0.0,0.5
25,5,7,25,15,19,0,0.0,0.5
26,5,7,26,3,13,0,0.0,0.5
27,5,7,27,9,4,0,0.0,0.5
28,5,7,28,3,2,0,0.0,0.5
29,5,7,29,14,6,0,0.0,0.5
30,5,7,30,19,17,0,0.0,0.5
31,5,7,31,2,12,0,0.0,0.5
32,5,7,32,9,3,0,0.0,0.5
33,5,7,33,19,2,0,0.0,0.5
34,5,7,34,5,19,0,0.0,0.5
35,5,7,35,17,10,0,0.0,0.5
36,5,7,36,8,7,0,0.0,0.5
37,5,7,37,8,0,0,0.0,0.5
38,5,7,38,5,17,0,0.0,0.5
39,5,7,39,7,7,0,0.5,0.5
40,5,7,40,7,2,0,1.0,0.5
41,5,7,41,1,1,0,1.0,0.5
42,5,7,42,10,6,0,1.0,0.5
43,5,7,43,17,11,0,1.0,0.5
44,5,7,44,17,5,0,1.0,0.5
45,5,7,45,15,2,0,1.0,0.5
46,5,7,46,13,15,0,1.0,0.5
47,5,7,47,6,6,0,1.0,0.5
48,5,7,48,12,8,0,1.0,0.5
49,5,7,49,14,16,0,1.0,0.5
0,5,7,0,11,6,0,0.5,1.0
1,5,7,1,10,6,0,0.5,1.0
2,5,7,2,13,13,0,0.0,1.0
3,5,7,3,8,16,0,0.0,1.0
4,5,7,4,18,8,0,0.0,1.0
5,5,7,5,9,11,0,0.0,1.0
6,5,7,6,13,19,0,0.0,1.0
7,5,7,7,12,15,0,1.0,1.0
8,5,7,8,16,19,0,0.0,1.0
9,5,7,9,19,15,0,0.0,1.0
10,5,7,10,19,4,0,0.0,1.0
11,5,7,11,19,4,0,0.0,1.0
12,5,7,12,8,13,0,0.0,1.0
13,5,7,13,5,13,0,0.0,1.0
14,5,7,14,11,8,0,1.0,1.0
15,5,7,15,15,5,0,0.0,1.0
16,5,7,16,15,5,0,0.0,1.0
17,5,7,17,18,19,0,0.0,1.0
18,5,7,18,2,14,0,0.0,1.0
19,5,7,19,18,15,0,0.0,1.0
20,5,7,20,10,15,0,0.0,1.0
21,5,7,21,12,3,0,0.0,1.0
22,5,7,22,17,14,0,0.0,1.0
23,5,7,23,9,14,0,0.0,1.0
24,5,7,24,17,17,0,0.0,1.0
25,5,7,25,15,19,0,0.0,1.0
26,5,7,26,3,13,0,0.0,1.0
27,5,7,27,9,4,0,0.0,1.0
28,5,7,28,3,2,0,0.0,1.0
29,5,7,29,14,6,0,0.0,1.0
30,5,7,30,19,17,0,0.0,1.0
31,5,7,31,2,12,0,0.0,1.0
32,5,7,32,9,3,0,0.0,1.0
33,5,7,33,19,2,0,0.0,1.0
34,5,7,34,5,19,0,0.0,1.0
35,5,7,35,17,10,0,0.5,1.0
36,5,7,36,8,7,0,0.0,1.0
37,5,7,37,8,0,0,0.0,1.0
38,5,7,38,5,17,0,0.0,1.0
39,5,7,39,7,7,0,1.0,1.0
40,5,7,40,7,2,0,1.0,1.0
41,5,7,41,1,1,0,1.0,1.0
42,5,7,42,10,6,0,1.0,1.0
43,5,7,43,17,11,0,1.0,1.0
44,5,7,44,17,5,0,1.0,1.0
45,5,7,45,15,2,0,1.0,1.0
46,5,7,46,13,15,0,1.0,1.0
47,5,7,47,6,6,0,1.0,1.0
48,5,7,48,12,8,0,1.0,1.0
49,5,7,49,14,16,0,1.0,1.0
0,5,7,0,11,6,0,1.0,1.5
1,5,7,1,10,6,0,1.0,1.5
2,5,7,2,13,13,0,0.0,1.5
3,5,7,3,8,16,0,0.0,1.5
4,5,7,4,18,8,0,0.0,1.5
5,5,7,5,9,11,0,0.0,1.5
6,5,7,6,13,19,0,0.0,1.5
7,5,7,7,12,15,0,1.0,1.5
8,5,7,8,16,19,0,0.0,1.5
9,5,7,9,19,15,0,0.0,1.5
10,5,7,10,19,4,0,0.0,1.5
11,5,7,11,19,4,0,0.0,1.5
12,5,7,12,8,13,0,0.0,1.5
13,5,7,13,5,13,0,0.0,1.5
14,5,7,14,11,8,0,1.0,1.5
15,5,7,15,15,5,0,0.0,1.5
16,5,7,16,15,5,0,0.0,1.5
17,5,7,17,18,19,0,0.0,1.5
18,5,7,18,2,14,0,0.0,1.5
19,5,7,19,18,15,0,0.0,1.5
20,5,7,20,10,15,0,0.0,1.5
21,5,7,21,12,3,0,0.0,1.5
22,5,7,22,17,14,0,0.0,1.5
23,5,7,23,9,14,0,0.0,1.5
24,5,7,24,17,17,0,0.0,1.5
25,5,7,25,15,19,0,0.0,1.5
26,5,7,26,3,13,0,0.0,1.5
27,5,7,27,9,4,0,0.0,1.5
28,5,7,28,3,2,0,0.0,1.5
29,5,7,29,14,6,0,0.0,1.5
30,5,7,30,19,17,0,0.0,1.5
31,5,7,31,2,12,0,0.0,1.5
32,5,7,32,9,3,0,0.0,1.5
33,5,7,33,19,2,0,0.0,1.5
34,5,7,34,5,19,0,0.0,1.5
35,5,7,35,17,10,0,1.0,1.5
36,5,7,36,8,7,0,0.5,1.5
37,5,7,37,8,0,0,0.0,1.5
38,5,7,38,5,17,0,0.0,1.5
39,5,7,39,7,7,0,1.0,1.5
40,5,7,40,7,2,0,1.0,1.5
41,5,7,41,1,1,0,1.0,1.5
42,5,7,42,10,6,0,1.0,1.5
43,5,7,43,17,11,0,1.0,1.5
44,5,7,44,17,5,0,1.0,1.5
45,5,7,45,15,2,0,1.0,1.5
46,5,7,46,13,15,0,1.0,1.5
47,5,7,47,6,6,0,1.0,1.5
48,5,7,48,12,8,0,1.0,1.5
49,5,7,49,14,16,0,1.0,1.5
0,5,7,0,11,6,0,1.0,2.0
1,5,7,1,10,6,0,1.0,2.0
2,5,7,2,13,13,0,0.0,2.0
3,5,7,3,8,16,0,0.0,2.0
4,5,7,4,18,8,0,0.0,2.0
5,5,7,5,9,11,0,0.0,2.0
6,5,7,6,13,19,0,0.0,2.0
7,5,7,7,12,15,0,1.0,2.0
8,5,7,8,16,19,0,0.0,2.0
9,5,7,9,19,15,0,0.0,2.0
10,5,7,10,19,4,0,0.0,2.0
11,5,7,11,19,4,0,0.0,2.0
12,5,7,12,8,13,0,0.0,2.0
13,5,7,13,5,13,0,0.0,2.0
14,5,7,14,11,8,0,1.0,2.0
15,5,7,15,15,5,0,0.0,2.0
16,5,7,16,15,5,0,0.0,2.0
17,5,7,17,18,19,0,0.0,2.0
18,5,7,18,2,14,0,0.0,2.0
19,5,7,19,18,15,0,0.0,2.0
20,5,7,20,10,15,0,0.0,2.0
21,5,7,21,12,3,0,0.0,2.0
22,5,7,22,17,14,0,0.0,2.0
23,5,7,23,9,14,0,0.0,2.0
24,5,7,24,17,17,0,0.0,2.0
25,5,7,25,15,19,0,0.0,2.0
26,5,7,26,3,13,0,0.0,2.0
27,5,7,27,9,4,0,0.0,2.0
28,5,7,28,3,2,0,0.0,2.0
29,5,7,29,14,6,0,0.0,2.0
30,5,7,30,19,17,0,0.0,2.0
31,5,7,31,2,12,0,0.0,2.0
32,5,7,32,9,3,0,0.0,2.0
33,5,7,33,19,2,0,0.0,2.0
34,5,7,34,5,19,0,0.0,2.0
35,5,7,35,17,10,0,1.0,2.0
36,5,7,36,8,7,0,1.0,2.0
37,5,7,37,8,0,0,0.0,2.0
38,5,7,38,5,17,0,0.0,2.0
39,5,7,39,7,7,0,1.0,2.0
40,5,7,40,7,2,0,1.0,2.0
41,5,7,41,1,1,0,1.0,2.0
42,5,7,42,10,6,0,1.0,2.0
43,5,7,43,17,11,0,1.0,2.0
44,5,7,44,17,5,0,1.0,2.0
45,5,7,45,15,2,0,1.0,2.0
46,5,7,46,13,15,0,1.0,2.0
47,5,7,47,6,6,0,1.0,2.0
48,5,7,48,12,8,0,1.0,2.0
49,5,7,49,14,16,0,1.0,2.0
0,5,7,0,11,6,0,1.0,2.5
1,5,7,1,10,6,0,1.0,2.5
2,5,7,2,13,13,0,0.0,2.5
3,5,7,3,8,16,0,0.0,2.5
4,5,7,4,18,8,0,0.0,2.5
5,5,7,5,9,11,0,0.0,2.5
6,5,7,6,13,19,0,0.0,2.5
7,5,7,7,12,15,0,1.0,2.5
8,5,7,8,16,19,0,0.0,2.5
9,5,7,9,19,15,0,0.0,2.5
10,5,7,10,19,4,0,0.0,2.5
11,5,7,11,19,4,0,0.0,2.5
12,5,7,12,8,13,0,0.0,2.5
13,5,7,13,5,13,0,0.0,2.5
14,5,7,14,11,8,0,1.0,2.5
15,5,7,15,15,5,0,0.0,2.5
16,5,7,16,15,5,0,0.0,2.5
17,5,7,17,18,19,0,0.0,2.5
18,5,7,18,2,14,0,0.0,2.5
19,5,7,19,18,15,0,0.0,2.5
20,5,7,20,10,15,0,0.0,2.5
21,5,7,21,12,3,0,0.0,2.5
22,5,7,22,17,14,0,0.0,2.5
23,5,7,23,9,14,0,0.0,2.5
24,5,7,24,17,17,0,0.0,2.5
25,5,7,25,15,19,0,0.0,2.5
26,5,7,26,3,13,0,0.0,2.5
27,5,7,27,9,4,0,0.0,2.5
28,5,7,28,3,2,0,0.0,2.5
29,5,7,29,14,6,0,0.0,2.5
30,5,7,30,19,17,0,0.0,2.5
31,5,7,31,2,12,0,0.0,2.5
32,5,7,32,9,3,0,0.0,2.5
33,5,7,33,19,2,0,0.0,2.5
34,5,7,34,5,19,0,0.0,2.5
35,5,7,35,17,10,0,1.0,2.5
36,5,7,36,8,7,0,1.0,2.5
37,5,7,37,8,0,0,0.0,2.5
38,5,7,38,5,17,0,0.0,2.5
39,5,7,39,7,7,0,1.0,2.5
40,5,7,40,7,2,0,1.0,2.5
41,5,7,41,1,1,0,1.0,2.5
42,5,7,42,10,6,0,1.0,2.5
43,5,7,43,17,11,0,1.0,2.5
44,5,7,44,17,5,0,1.0,2.5
45,5,7,45,15,2,0,1.0,2.5
46,5,7,46,13,15,0,1.0,2.5
47,5,7,47,6,6,0,1.0,2.5
48,5,7,48,12,8,0,1.0,2.5
49,5,7,49,14,16,0,1.0,2.5
0,5,7,0,11,6,0,1.0,3.0
1,5,7,1,10,6,0,1.0,3.0
2,5,7,2,13,13,0,0.0,3.0
3,5,7,3,8,16,0,0.0,3.0
4,5,7,4,18,8,0,0.0,3.0
5,5,7,5,9,11,0,0.0,3.0
6,5,7,6,13,19,0,0.0,3.0
7,5,7,7,12,15,0,1.0,3.0
8,5,7,8,16,19,0,0.0,3.0
9,5,7,9,19,15,0,0.0,3.0
10,5,7,10,19,4,0,0.0,3.0
11,5,7,11,19,4,0,0.0,3.0
12,5,7,12,8,13,0,0.0,3.0
13,5,7,13,5,13,0,0.0,3.0
14,5,7,14,11,8,0,1.0,3.0
15,5,7,15,15,5,0,0.0,3.0
16,5,7,16,15,5,0,0.0,3.0
17,5,7,17,18,19,0,0.0,3.0
18,5,7,18,2,14,0,0.0,3.0
19,5,7,19,18,15,0,0.0,3.0
20,5,7,20,10,15,0,0.0,3.0
21,5,7,21,12,3,0,0.0,3.0
22,5,7,22,17,14,0,0.0,3.0
23,5,7,23,9,14,0,0.0,3.0
24,5,7,24,17,17,0,0.0,3.0
25,5,7,25,15,19,0,0.0,3.0
26,5,7,26,3,13,0,0.0,3.0
27,5,7,27,9,4,0,0.0,3.0
28,5,7,28,3,2,0,0.0,3.0
29,5,7,29,14,6,0,0.0,3.0
30,5,7,30,19,17,0,0.0,3.0
31,5,7,31,2,12,0,0.0,3.0
32,5,7,32,9,3,0,0.0,3.0
33,5,7,33,19,2,0,0.0,3.0
34,5,7,34,5,19,0,0.0,3.0
35,5,7,35,17,10,0,1.0,3.0
36,5,7,36,8,7,0,1.0,3.0
37,5,7,37,8,0,0,0.0,3.0
38,5,7,38,5,17,0,0.0,3.0
39,5,7,39,7,7,0,1.0,3.0
40,5,7,40,7,2,0,1.0,3.0
41,5,7,41,1,1,0,1.0,3.0
42,5,7,42,10,6,0,1.0,3.0
43,5,7,43,17,11,0,1.0,3.0
44,5,7,44,17,5,0,1.0,3.0
45,5,7,45,15,2,0,1.0,3.0
46,5,7,46,13,15,0,1.0,3.0
47,5,7,47,6,6,0,1.0,3.0
48,5,7,48,12,8,0,1.0,3.0
49,5,7,49,14,16,0,1.0,3.0
0,5,7,0,11,6,0,1.0,3.5
1,5,7,1,10,6,0,1.0,3.5
2,5,7,2,13,13,0,0.0,3.5
3,5,7,3,8,16,0,0.0,3.5
4,5,7,4,18,8,0,0.0,3.5
5,5,7,5,9,11,0,0.0,3.5
6,5,7,6,13,19,0,0.0,3.5
7,5,7,7,12,15,0,1.0,3.5
8,5,7,8,16,19,0,0.0,3.5
9,5,7,9,19,15,0,0.0,3.5
10,5,7,10,19,4,0,0.0,3.5
11,5,7,11,19,4,0,0.0,3.5
12,5,7,12,8,13,0,0.0,3.5
13,5,7,13,5,13,0,0.0,3.5
14,5,7,14,11,8,0,1.0,3.5
15,5,7,15,15,5,0,0.0,3.5
16,5,7,16,15,5,0,0.0,3.5
17,5,7,17,18,19,0,0.0,3.5
18,5,7,18,2,14,0,0.0,3.5
19,5,7,19,18,15,0,0.0,3.5
20,5,7,20,10,15,0,0.0,3.5
21,5,7,21,12,3,0,0.0,3.5
22,5,7,22,17,14,0,0.0,3.5
